Code_postal,Nom_commune_plus_peuplee,Libelle_acheminement,Ligne_5,latitude_avg,longitude_avg,Population,Nombre_communes_INSEE
16210,CHALAIS,CHALAIS,SERIGNAC,45.2709772501632,0.04927967861285,8707,18
16220,MONTBRON,MONTBRON,,45.6795875986811,0.497380536142221,5157,8
16230,MANSLE,MANSLE,,45.876234272078,0.196674049312174,7183,16
16240,VILLEFAGNAN,VILLEFAGNAN,,46.0272381009767,0.0654236611288054,4077,15
16250,VAL DES VIGNES,VAL DES VIGNES,PEREUIL,45.4854526561467,0.0345078059494947,10106,17
16270,ROUMAZIERES LOUBERT,ROUMAZIERES LOUBERT,ROUMAZIERES,45.8723244178367,0.577361785246994,7434,7
16290,ST SATURNIN,ST SATURNIN,,45.6778495588432,0.00969307373989629,5275,6
16330,VARS,VARS,,45.8041967606289,0.109951992434368,5065,7
16360,BAIGNES STE RADEGONDE,BAIGNES STE RADEGONDE,,45.3743894224469,-0.201928689566027,4047,7
16390,ST SEVERIN,ST SEVERIN,,45.2991028989563,0.199069671293148,2522,8
16400,LA COURONNE,LA COURONNE,,45.6056216213388,0.147009366896868,11426,3
16450,ST CLAUD,ST CLAUD,,45.9160616569464,0.449167428869798,2737,6
16460,ST FRONT,ST FRONT,,45.9151498647292,0.265585932848069,2098,12
16490,ALLOUE,ALLOUE,,46.0416435988404,0.53275025386537,1731,5
16560,JAULDES,JAULDES,,45.7974369775193,0.217265726017897,3485,6
16570,ST GENIS D HIERSAC,ST GENIS D HIERSAC,,45.747995987953,0.0610563425111151,1745,2
16710,ST YRIEIX SUR CHARENTE,ST YRIEIX SUR CHARENTE,,45.6789850726964,0.126978913569142,7167,1
16720,ST MEME LES CARRIERES,ST MEME LES CARRIERES,,45.645813356609,-0.137376190670795,1098,1
16730,FLEAC,FLEAC,,45.6559522310507,0.0694571652420371,6636,3
16800,SOYAUX,SOYAUX,,45.6408127720747,0.20419396011938,9366,1
17110,ST GEORGES DE DIDONNE,ST GEORGES DE DIDONNE,,45.5998451355963,-0.991090587123875,5080,1
17111,LOIX,LOIX,,46.2199063570111,-1.45313197083149,677,1
17113,MORNAC SUR SEUDRE,MORNAC SUR SEUDRE,,45.70869547578,-1.0215139753594,831,1
17123,ILE D AIX,ILE D AIX,,,,,1
17137,NIEUL SUR MER,NIEUL SUR MER,,46.2176880318057,-1.15524826792305,19201,5
