norm_name,CODEISO3,ambiguité,dep_code
ampoigne,FRA,1,53
amponville,FRA,1,77
ampriani,FRA,1,2B
ampuis,FRA,1,69
ampus,FRA,1,83
amure,FRA,1,79
amy,FRA,1,60
anaa,FRA,1,987
anan,FRA,1,31
ance,FRA,1,64
anceaumeville,FRA,1,76
ancelle,FRA,1,05
ancemont,FRA,1,55
ancenis,FRA,1,44
ancerviller,FRA,1,54
ancey,FRA,1,21
anchamps,FRA,1,08
anchenoncourt chazel,FRA,1,70
ancienville,FRA,1,02
ancier,FRA,1,70
ancinnes,FRA,1,72
ancizan,FRA,1,65
ancizes comps,FRA,1,63
ancone,FRA,1,26
ancourt,FRA,1,76
ancourteville hericourt,FRA,1,76
ancretieville saint victor,FRA,1,76
ancretteville mer,FRA,1,76
ancteville,FRA,1,50
anctoville boscq,FRA,1,50
ancy,FRA,1,69
ancy dornot,FRA,1,57
ancy franc,FRA,1,89
ancy libre,FRA,1,89
ancy moselle,FRA,1,57
andainville,FRA,1,80
andance,FRA,1,07
andancette,FRA,1,26
ande,FRA,1,27
andechy,FRA,1,80
andel,FRA,1,22
andelain,FRA,1,02
andelaroche,FRA,1,03
andelarre,FRA,1,70
andelarrot,FRA,1,70
andelat,FRA,1,15
andelnans,FRA,1,90
andelot,FRA,1,52
andelot blancheville,FRA,1,52
andelot montagne,FRA,1,39
andelot morval,FRA,1,39
andelot saint amour,FRA,1,39
andelu,FRA,1,78
andelys,FRA,1,27
andernay,FRA,1,55
andernos bains,FRA,1,33
anderny,FRA,1,54
andert condon,FRA,1,01
andeville,FRA,1,60
andillac,FRA,1,81
andilly bassigny,FRA,1,52
andiran,FRA,1,47
andlau,FRA,1,67
andoins,FRA,1,64
andolsheim,FRA,1,68
andon,FRA,1,06
andonville,FRA,1,45
andornay,FRA,1,70
andouille,FRA,1,53
andouille neuville,FRA,1,35
andouque,FRA,1,81
andrein,FRA,1,64
andres,FRA,1,62
andrest,FRA,1,65
andresy,FRA,1,78
andrezel,FRA,1,77
andrezieux,FRA,1,42
andrezieux boutheon,FRA,1,42
andryes,FRA,1,89
anduze,FRA,1,30
aneres,FRA,1,65
anet,FRA,1,28
angais,FRA,1,64
ange,FRA,1,41
angeac champagne,FRA,1,16
angeac charente,FRA,1,16
angecourt,FRA,1,08
angeduc,FRA,1,16
angely,FRA,1,89
angeot,FRA,1,90
angers,FRA,1,49
angerville bailleul,FRA,1,76
angerville campagne,FRA,1,27
angerville martel,FRA,1,76
angerville orcher,FRA,1,76
angervilliers,FRA,1,91
angeville,FRA,1,82
angevillers,FRA,1,57
angicourt,FRA,1,60
angiens,FRA,1,76
angirey,FRA,1,70
angivillers,FRA,1,60
anglade,FRA,1,33
anglards,FRA,1,15
anglards saint flour,FRA,1,15
anglards salers,FRA,1,15
anglars,FRA,1,46
anglars juillac,FRA,1,46
anglars nozac,FRA,1,46
anglars saint felix,FRA,1,12
anglefort,FRA,1,01
anglemont,FRA,1,88
angles anglin,FRA,1,86
angles correze,FRA,1,19
anglesqueville bras long,FRA,1,76
anglesqueville esneval,FRA,1,76
anglesqueville saane,FRA,1,76
anglet,FRA,1,64
anglure,FRA,1,51
anglure dun,FRA,1,71
angluzelles courcelles,FRA,1,51
angoisse,FRA,1,24
angomont,FRA,1,54
angos,FRA,1,65
angouleme,FRA,1,16
angoulins,FRA,1,17
angoume,FRA,1,40
angous,FRA,1,64
angoustrine,FRA,1,66
angoustrine villeneuve escaldes,FRA,1,66
angres,FRA,1,62
angresse,FRA,1,40
angrie,FRA,1,49
anguerny,FRA,1,14
anguilcourt sart,FRA,1,02
angy,FRA,1,60
anhaux,FRA,1,64
anhiers,FRA,1,59
aniane,FRA,1,34
aniche,FRA,1,59
anisy,FRA,1,14
anizy chateau,FRA,1,02
anjeux,FRA,1,70
anjou,FRA,1,38
anjouin,FRA,1,36
anjoutey,FRA,1,90
anla,FRA,1,65
anlezy,FRA,1,58
anlhiac,FRA,1,24
annappes,FRA,1,59
annay cote,FRA,1,89
annay serein,FRA,1,89
annebault,FRA,1,14
annecy,FRA,1,74
annecy vieux,FRA,1,74
annelles,FRA,1,08
annemasse,FRA,1,74
anneot,FRA,1,89
annepont,FRA,1,17
annequin,FRA,1,62
annesse beaulieu,FRA,1,24
annet marne,FRA,1,77
anneux,FRA,1,59
anneville,FRA,1,76
anneville ambourville,FRA,1,76
anneville mer,FRA,1,50
anneville prairie,FRA,1,52
anneville saire,FRA,1,50
anneville scie,FRA,1,76
anneville seine,FRA,1,76
anneyron,FRA,1,26
annezay,FRA,1,17
annezin,FRA,1,62
annoeullin,FRA,1,59
annoire,FRA,1,39
annois,FRA,1,02
annoisin chatelans,FRA,1,38
annoix,FRA,1,18
annonay,FRA,1,07
annonville,FRA,1,52
annot,FRA,1,04
annouville vilmesnil,FRA,1,76
annoux,FRA,1,89
annoville,FRA,1,50
anor,FRA,1,59
anos,FRA,1,64
anost,FRA,1,71
anould,FRA,1,88
anoux,FRA,1,54
anoye,FRA,1,64
anquetierville,FRA,1,76
anrosey,FRA,1,52
ansac vienne,FRA,1,16
ansacq,FRA,1,60
ansan,FRA,1,32
ansauville,FRA,1,54
ansauvillers,FRA,1,60
anse,FRA,1,69
anse bertrand,FRA,1,971
anses arlet,FRA,1,972
ansignan,FRA,1,66
ansost,FRA,1,65
ansouis,FRA,1,84
anstaing,FRA,1,59
antagnac,FRA,1,47
anterrieux,FRA,1,15
anteuil,FRA,1,25
antezant,FRA,1,17
antezant chapelle,FRA,1,17
anthe,FRA,1,47
anthelupt,FRA,1,54
anthenay,FRA,1,51
antheny,FRA,1,08
antheuil,FRA,1,21
antheuil portes,FRA,1,60
anthien,FRA,1,58
anthon,FRA,1,38
anthy,FRA,1,74
anthy leman,FRA,1,74
antibes,FRA,1,06
antichan,FRA,1,65
antichan frontignes,FRA,1,31
antigny ville,FRA,1,21
antin,FRA,1,65
antisanti,FRA,1,2B
antist,FRA,1,65
antogny,FRA,1,37
antogny tillac,FRA,1,37
antoigne,FRA,1,49
antoigny,FRA,1,61
antoingt,FRA,1,63
antonne trigonant,FRA,1,24
antony,FRA,1,92
antraigues,FRA,1,07
antraigues volane,FRA,1,07
antrain,FRA,1,35
antran,FRA,1,86
antrenas,FRA,1,48
antugnac,FRA,1,11
antully,FRA,1,71
anveville,FRA,1,76
anville,FRA,1,16
anvin,FRA,1,62
any martin rieux,FRA,1,02
anzat luguet,FRA,1,63
anzeling,FRA,1,57
anzeme,FRA,1,23
anzex,FRA,1,47
anzin,FRA,1,59
anzin saint aubin,FRA,1,62
anzy duc,FRA,1,71
aoste,FRA,1,38
aougny,FRA,1,51
aouste,FRA,1,08
aouste sye,FRA,1,26
aouze,FRA,1,88
apach,FRA,1,57
apatou,FRA,1,973
apchat,FRA,1,63
apchon,FRA,1,15
apinac,FRA,1,42
appelle,FRA,1,81
appenai belleme,FRA,1,61
appenans,FRA,1,25
appenwihr,FRA,1,68
appeville,FRA,1,50
appeville annebault,FRA,1,27
appietto,FRA,1,2A
appilly,FRA,1,60
appoigny,FRA,1,89
apprieu,FRA,1,38
approuague kaw,FRA,1,973
appy,FRA,1,09
apremont allier,FRA,1,18
apremont foret,FRA,1,55
aprey,FRA,1,52
apt,FRA,1,84
arabaux,FRA,1,09
araches,FRA,1,74
araches frasse,FRA,1,74
aragnouet,FRA,1,65
aragon,FRA,1,11
aramits,FRA,1,64
aramon,FRA,1,30
aranc,FRA,1,01
arandas,FRA,1,01
arandon,FRA,1,38
araujuzon,FRA,1,64
araules,FRA,1,43
araux,FRA,1,64
arbanats,FRA,1,33
arbas,FRA,1,31
arbecey,FRA,1,70
arbellara,FRA,1,2A
arbent,FRA,1,01
arbeost,FRA,1,65
arberats sillegue,FRA,1,64
arbignieu,FRA,1,01
arbigny,FRA,1,01
arbigny varennes,FRA,1,52
arbin,FRA,1,73
arbis,FRA,1,33
arblade bas,FRA,1,32
arblade haut,FRA,1,32
arbois,FRA,1,39
arbon,FRA,1,31
arbonne foret,FRA,1,77
arboras,FRA,1,34
arbori,FRA,1,2A
arbot,FRA,1,52
arbouans,FRA,1,25
arboucave,FRA,1,40
arbouet sussaute,FRA,1,64
arbourse,FRA,1,58
arboussols,FRA,1,66
arboys bugey,FRA,1,01
arbresle,FRA,1,69
arbrissel,FRA,1,35
arbus,FRA,1,64
arbusigny,FRA,1,74
arc,FRA,1,70
arc barrois,FRA,1,52
arc cicon,FRA,1,25
arc gray,FRA,1,70
arc montenot,FRA,1,25
arc senans,FRA,1,25
arc tille,FRA,1,21
arcachon,FRA,1,33
arcais,FRA,1,79
arcambal,FRA,1,46
arcangues,FRA,1,64
arceau,FRA,1,21
arcenant,FRA,1,21
arcens,FRA,1,07
arces dilo,FRA,1,89
archail,FRA,1,04
archail draix,FRA,1,04
archamps,FRA,1,74
archelange,FRA,1,39
archettes,FRA,1,88
archiac,FRA,1,17
archignac,FRA,1,24
archignat,FRA,1,03
archigny,FRA,1,86
archingeay,FRA,1,17
archipel crozet,FRA,1,984
archipel kerguelen,FRA,1,984
archon,FRA,1,02
arcinges,FRA,1,42
arcins,FRA,1,33
arcis aube,FRA,1,10
arcis ponsart,FRA,1,51
arcizac adour,FRA,1,65
arcizac ez angles,FRA,1,65
arcizans avant,FRA,1,65
arcizans dessus,FRA,1,65
arcomps,FRA,1,18
arconcey,FRA,1,21
arconnay,FRA,1,72
arconsat,FRA,1,63
arconville,FRA,1,10
arcs,FRA,1,83
arcueil,FRA,1,94
arcy cure,FRA,1,89
arcy sainte restitue,FRA,1,02
ardelles,FRA,1,28
ardelu,FRA,1,28
ardenais,FRA,1,18
ardenay merize,FRA,1,72
ardengost,FRA,1,65
ardentes,FRA,1,36
ardes,FRA,1,63
ardeuil montfauxelles,FRA,1,08
ardiege,FRA,1,31
ardillats,FRA,1,69
ardilleux,FRA,1,79
ardillieres,FRA,1,17
ardin,FRA,1,79
ardizas,FRA,1,32
ardoix,FRA,1,07
ardouval,FRA,1,76
ardres,FRA,1,62
aregno,FRA,1,2B
areines,FRA,1,41
arelaune seine,FRA,1,76
aren,FRA,1,64
arengosse,FRA,1,40
arenthon,FRA,1,74
ares,FRA,1,33
aresches,FRA,1,39
aressy,FRA,1,64
arette,FRA,1,64
arfeuille chatain,FRA,1,23
arfeuilles,FRA,1,03
arfons,FRA,1,81
argagnon,FRA,1,64
arganchy,FRA,1,14
argancon,FRA,1,10
argancy,FRA,1,57
argein,FRA,1,09
argeles,FRA,1,65
argeles bagneres,FRA,1,65
argeles gazost,FRA,1,65
argeles mer,FRA,1,66
argeliers,FRA,1,11
argelliers,FRA,1,34
argelouse,FRA,1,40
argences,FRA,1,14
argences aubrac,FRA,1,12
argens minervois,FRA,1,11
argent sauldre,FRA,1,18
argentan,FRA,1,61
argentat,FRA,1,19
argentenay,FRA,1,89
argenteuil,FRA,1,95
argenteuil armancon,FRA,1,89
argentiere bessee,FRA,1,05
argentieres,FRA,1,77
argentine,FRA,1,73
argenton chateau,FRA,1,79
argenton creuse,FRA,1,36
argenton dame,FRA,1,53
argenton eglise,FRA,1,79
argenton vallees,FRA,1,79
argentonnay,FRA,1,79
argentre,FRA,1,53
argentre plessis,FRA,1,35
argenvieres,FRA,1,18
argenvilliers,FRA,1,28
argers,FRA,1,51
arget,FRA,1,64
argiesans,FRA,1,90
argillieres,FRA,1,70
argilliers,FRA,1,30
argilly,FRA,1,21
argis,FRA,1,01
argiusta moriccio,FRA,1,2A
argoeuves,FRA,1,80
argol,FRA,1,29
argonay,FRA,1,74
argonnex,FRA,1,74
argouges,FRA,1,50
argoules,FRA,1,80
argueil,FRA,1,76
argueil fry,FRA,1,76
arguenos,FRA,1,31
argut dessous,FRA,1,31
argy,FRA,1,36
arhansus,FRA,1,64
aries espenan,FRA,1,65
arifat,FRA,1,81
arignac,FRA,1,09
arinthod,FRA,1,39
