id,CODEISO3,insee_code,start_datetime,end_datetime,name,norm_name,newest_id,insee_code_history,dep_history,population,dep_code,newest_insee_code,validity,newest_name,newest_dep_code,surface,latitude,longitude,geopoint_2d,Code ONS,Commune,dep,Dates changement,Daira,Code postal,ambiguity,norm_rank,insee_rank
ALCO1536@2017-01-01,DZA,,,,Ouadhia,ouadhia,ALCO1536@2017-01-01,,,15771,,,true,Ouadhia,,3283,36.55,4.083333,POINT(4.083333 36.55),1536,Ouadhia,Tizi Ouzou,,,,,1.0,1845.0
ALCO1538@2017-01-01,DZA,,,,Tigzirt,tigzirt,ALCO1538@2017-01-01,,,11962,,,true,Tigzirt,,4168,36.89298,4.12255,POINT(4.12255 36.89298),1538,Tigzirt,Tizi Ouzou,,,,,1.0,1846.0
ALCO1539@2017-01-01,DZA,,,,Djebel Aissa Mimoun,djebel aissa mimoun,ALCO1539@2017-01-01,,,20268,,,true,Djebel Aissa Mimoun,,363,36.7602263,4.136482,POINT(4.136482 36.7602263),1539,Djebel Aissa Mimoun,Tizi Ouzou,,,,,1.0,1847.0
ALCO1540@2017-01-01,DZA,,,,Boghni,boghni,ALCO1540@2017-01-01,,,31263,,,true,Boghni,,515,36.541133,3.9556355,POINT(3.9556355 36.541133),1540,Boghni,Tizi Ouzou,,,,,1.0,1848.0
ALCO1541@2017-01-01,DZA,,,,Ifigha,ifigha,ALCO1541@2017-01-01,,,9160,,,true,Ifigha,,4686,36.670484,4.410152,POINT(4.410152 36.670484),1541,Ifigha,Tizi Ouzou,,,,,1.0,1849.0
ALCO1543@2017-01-01,DZA,,,,Tirmitine,tirmitine,ALCO1543@2017-01-01,,,19027,,,true,Tirmitine,,3291,36.661809,3.984776,POINT(3.984776 36.661809),1543,Tirmitine,Tizi Ouzou,,,,,1.0,1850.0
ALCO1545@2017-01-01,DZA,,,,Yatafen,yatafen,ALCO1545@2017-01-01,,,4016,,,true,Yatafen,,1599,36.552224,4.256086,POINT(4.256086 36.552224),1545,Yatafen,Tizi Ouzou,,,,,1.0,1851.0
ALCO1548@2017-01-01,DZA,,,,Ouacif,ouacif,ALCO1548@2017-01-01,,,10313,,,true,Ouacif,,1718,36.53333,4.21667,POINT(4.21667 36.53333),1548,Ouacif,Tizi Ouzou,,,,,1.0,1852.0
ALCO1549@2017-01-01,DZA,,,,Idjeur,idjeur,ALCO1549@2017-01-01,,,10301,,,true,Idjeur,,7206,36.6664284,4.5186453,POINT(4.5186453 36.6664284),1549,Idjeur,Tizi Ouzou,,,,,1.0,1853.0
ALCO1550@2017-01-01,DZA,,,,Mekla,mekla,ALCO1550@2017-01-01,,,24237,,,true,Mekla,,6471,36.6876391,4.2681185,POINT(4.2681185 36.6876391),1550,Mekla,Tizi Ouzou,,,,,1.0,1854.0
ALCO1555@2017-01-01,DZA,,,,Boudjima,boudjima,ALCO1555@2017-01-01,,,15628,,,true,Boudjima,,3494,36.8139801,4.1587979,POINT(4.1587979 36.8139801),1555,Boudjima,Tizi Ouzou,,,,,1.0,1855.0
ALCO1558@2017-01-01,DZA,,,,Aït Khellili,ait khellili,ALCO1558@2017-01-01,,,11627,,,true,Aït Khellili,,2458,36.6579226,4.3083865,POINT(4.3083865 36.6579226),1558,Aït Khellili,Tizi Ouzou,,,,,1.0,1856.0
ALCO1559@2017-01-01,DZA,,,,Sidi Namane,sidi namane,ALCO1559@2017-01-01,,,10688,,,true,Sidi Namane,,4224,36.7581485,3.9839728,POINT(3.9839728 36.7581485),1559,Sidi Namane,Tizi Ouzou,,,,,1.0,1857.0
ALCO1560@2017-01-01,DZA,,,,Iboudraren,iboudraren,ALCO1560@2017-01-01,,,5398,,,true,Iboudraren,,325,36.518311,4.239542,POINT(4.239542 36.518311),1560,Iboudraren,Tizi Ouzou,,,,,1.0,1858.0
ALCO1563@2017-01-01,DZA,,,,Imsouhel,imsouhel,ALCO1563@2017-01-01,,,6565,,,true,Imsouhel,,2469,36.56926,4.38786,POINT(4.38786 36.56926),1563,Imsouhel,Tizi Ouzou,,,,,1.0,1859.0
ALCO1564@2017-01-01,DZA,,,,Camp-du-Maréchal,camp marechal,,,,,,,true,Tadmait,,,,,,,,,,,,1,1.0,1860.0
ALCO1564@2017-01-01,DZA,,,,Tadmaït,tadmait,ALCO1564@2017-01-01,,,22838,,,true,Tadmaït,,6366,36.742736,3.901863,POINT(3.901863 36.742736),1564,Tadmaït,Tizi Ouzou,,,,,1.0,1861.0
ALCO1565@2017-01-01,DZA,,,,Aït Bouadou,ait bouadou,ALCO1565@2017-01-01,,,14435,,,true,Aït Bouadou,,393,36.5,4.016667,POINT(4.016667 36.5),1565,Aït Bouadou,Tizi Ouzou,,,,,1.0,1862.0
ALCO1566@2017-01-01,DZA,,,,Assi Youcef,assi youcef,ALCO1566@2017-01-01,,,14789,,,true,Assi Youcef,,2628,36.507084,4.01855,POINT(4.01855 36.507084),1566,Assi Youcef,Tizi Ouzou,,,,,1.0,1863.0
ALCO1601@2017-01-01,DZA,,,,La Pointe Pescade,pointe pescade,,,,,,,true,Alger,,,,,,,,,,,,2,1.0,1866.0
ALCO1602@2017-01-01,DZA,,,,Belcourt,belcourt,,,,,,,false,Sidi M'Hamed,,,,,,,,,,,,3,1.0,1.0
ALCO1603@2017-01-01,DZA,,,,El Madania,el madania,ALCO1603@2017-01-01,,,40301,,,true,El Madania,,214,36.742873,3.065078,POINT(3.065078 36.742873),1603,El Madania,Alger,1977,Sidi M'Hamed,,,1.0,1867.0
ALCO1604@2017-01-01,DZA,,,,Belouizdad,belouizdad,ALCO1604@2017-01-01,,,44050,,,true,Belouizdad,,214,36.753542,3.062278,POINT(3.062278 36.753542),1604,Belouizdad,Alger,1984,Hussein Dey,,,1.0,1868.0
ALCO1606@2017-01-01,DZA,,,,Saint-Eugène,saint eugene,,,,,,,true,Bologhine,,,,,,,,,,,,1,1.0,1870.0
ALCO1609@2017-01-01,DZA,,,,Le Redoute,redoute,,,,,,,true,Bir Mourad Raïs,,,,,,,,,,,,2,1.0,1872.0
ALCO1610@2017-01-01,DZA,,,,El Biar,el biar,ALCO1610@2017-01-01,,,47332,,,true,El Biar,,421,36.769069,3.029684,POINT(3.029684 36.769069),1610,El Biar,Alger,1870;1977,Bouzareah,,,1.0,1873.0
ALCO1612@2017-01-01,DZA,,,,Birkhadem,birkhadem,ALCO1612@2017-01-01,,,77749,,,true,Birkhadem,,892,36.716667,3.066667,POINT(3.066667 36.716667),1612,Birkhadem,Alger,1856,Bir Mourad Raïs,,,1.0,1875.0
ALCO1613@2017-01-01,DZA,,,,Maison-Carrée,maison carree,,,,,,,true,El Harrach,,,,,,,,,,,,2,1.0,1877.0
ALCO1615@2017-01-01,DZA,,,,Les Eucalyptus,eucalyptus,,,,,,,true,Oued Smar,,,,,,,,,,,,1,1.0,1878.0
ALCO1616@2017-01-01,DZA,,,,Bachdjerrah,bachdjerrah,ALCO1616@2017-01-01,,,93289,,,true,Bachdjerrah,,332,36.721721,3.118229,POINT(3.118229 36.721721),1616,Bachdjerrah,Alger,1984,El Harrach,,,1.0,1879.0
ALCO1618@2017-01-01,DZA,,,,Kouba,kouba,ALCO1618@2017-01-01,,,104708,,,true,Kouba,,1013,36.73374,3.086474,POINT(3.086474 36.73374),1618,Kouba,Alger,1856;1977,Hussein Dey,,,1.0,1881.0
